screenWidth 1104;screenHeight 661;cornerX 302;cornerY 80;centerX 552;centerY 330;externalRadius 250;internalRadius 170;borderRadius 1;cursorRadius 16;indexOfDifficulty 28.00696429476858;taskRadius 209.5;taskTolerance 47;borderColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];autoStart 3600;cycleMaxNumber 6;cycleDuration 20;software LSL-mouse;version 1.2.0rc5;task CircularTarget;isWithLSL false
2021-03-26 17:38:25.650

2021-03-26 17:38:32.325,1616776712325,KeyTyped=32 DoCycleChange
2021-03-26 17:38:32.331,1616776712331,DoCycleChange:DoStartCycleTimedSequence
2021-03-26 17:38:32.333,1616776712333,DoCycleChange:DoRecord RecordDone=0 PauseDone=0 ToDo=6
2021-03-26 17:38:52.336,1616776732336,DoCycleChange:DoPause RecordDone=1 PauseDone=0 ToDo=6
2021-03-26 17:39:12.340,1616776752340,DoCycleChange:DoRecord RecordDone=1 PauseDone=1 ToDo=6
2021-03-26 17:39:32.351,1616776772351,DoCycleChange:DoPause RecordDone=2 PauseDone=1 ToDo=6
2021-03-26 17:39:52.372,1616776792372,DoCycleChange:DoRecord RecordDone=2 PauseDone=2 ToDo=6
2021-03-26 17:40:12.386,1616776812386,DoCycleChange:DoPause RecordDone=3 PauseDone=2 ToDo=6
2021-03-26 17:40:32.390,1616776832390,DoCycleChange:DoRecord RecordDone=3 PauseDone=3 ToDo=6
2021-03-26 17:40:52.404,1616776852404,DoCycleChange:DoPause RecordDone=4 PauseDone=3 ToDo=6
2021-03-26 17:41:12.419,1616776872419,DoCycleChange:DoRecord RecordDone=4 PauseDone=4 ToDo=6
2021-03-26 17:41:32.433,1616776892433,DoCycleChange:DoPause RecordDone=5 PauseDone=4 ToDo=6
2021-03-26 17:41:38.364,1616776898364,KeyTyped=113 WINDOW_CLOSING
2021-03-26 17:41:38.367,1616776898367,
    Var , nLaps ,      Re ,      Te ,   error ,  MT/lap , IDe/lap ,      Be ,     IPe ,
   unit ,   lap ,   pixel ,   pixel ,       % ,   s/lap , bit/lap ,  double ,   bit/s ,
 Theory ,  1.00 ,  209.50 ,   47.00 ,    3.88 ,         ,         ,    1.00 ,         ,
 Rec001 ,-10.85 ,  213.87 ,   91.79 ,    3.90 ,    1.84 ,   14.64 ,    1.95 ,    7.94 ,
 Rec002 ,-11.97 ,  209.85 ,   34.46 ,    0.74 ,    1.59 ,   38.27 ,    0.73 ,   24.04 ,
 Rec003 ,-13.26 ,  209.43 ,   42.42 ,    2.81 ,    1.45 ,   31.02 ,    0.90 ,   21.40 ,
 Rec004 ,-12.83 ,  209.46 ,   37.14 ,    0.13 ,    1.49 ,   35.43 ,    0.79 ,   23.72 ,
 Rec005 ,-14.74 ,  210.89 ,   43.88 ,    2.84 ,    1.30 ,   30.20 ,    0.93 ,   23.20 ,
 Rec006 ,  0.00 ,    0.00 ,    0.00 ,     NaN ,     NaN ,     NaN ,    0.00 ,    0.00 ,
